id,domain,prompt
16,LED / Lighting / Art Projects,"Design a three-state machine (Idle, FadeIn, FadeOut) controlled by two buttons. PWM an LED at 500 Hz and use bounded loops for the fade steps; include 50 ms button lockout. Control loop rate 100 Hz."
17,LED / Lighting / Art Projects,"Use two knobs to control hue and brightness of an RGB LED. Update color at 60 Hz, apply a bounded loop to quantize hue into 24 steps, and dim to 10% after 5 minutes without input."
18,LED / Lighting / Art Projects,Implement day/night lighting using an ambient light sensor with hysteresis. Use a two-state machine and a bounded moving average window of 8 samples at 20 Hz. Cap duty at 70% for safety.
19,LED / Lighting / Art Projects,"Drive an RGB LED from a sound level sensor: Quiet state shows warm dim (20% duty), Active state shows color mapped to amplitude. Use a state machine and a bounded rolling average over 16 samples at 200 Hz."
20,LED / Lighting / Art Projects,"Trigger a 3 s sparkle-on effect when a proximity sensor exceeds a threshold, then return to idle. Implement a bounded loop that plays exactly 20 sparkle steps at 100 Hz."
21,LED / Lighting / Art Projects,"Monitor battery voltage and reduce LED brightness in steps as voltage falls. State machine with Normal, Dim, and Shutdown states; use a bounded loop for stepwise reductions at 10 Hz. Enforce minimum off in Shutdown."
22,LED / Lighting / Art Projects,"If temperature exceeds 50 C, fade an LED to off over 2 s and inhibit reactivation for 10 s. Use bounded fade steps and a simple state machine; update at 100 Hz."
23,LED / Lighting / Art Projects,"Rotate through a user-editable palette of up to 12 colors on an RGB LED. Use buttons to add/remove colors, a state machine for Editing vs Playing, and a bounded index loop at 30 Hz."
24,LED / Lighting / Art Projects,Make two LEDs blink in perfect anti-phase at 5 Hz with jitter under 2 ms. Use a bounded loop to schedule the toggles and a 200 Hz update rate.
25,LED / Lighting / Art Projects,Implement a theater-chase pattern on 8 LEDs with a selectable step size. Bound all loops to the fixed LED count and run at 25 frames per second.
26,LED / Lighting / Art Projects,"Create an alarm indication: triple strobe then 1 s pause, repeating while an input is true. Use a state machine (Idle/Alert) and a bounded repeat counter to keep the triple strobe sequence. Ensure average duty over 10 s stays below 40%."
27,LED / Lighting / Art Projects,Perform a 3 s color crossfade between two stored colors with perceptual gamma correction using a bounded lookup table. Update PWM at 120 Hz.
28,LED / Lighting / Art Projects,"Simulate a sunset: ramp brightness down from 60% to 0% over 900 s, pausing when motion is detected. Use a state machine (Running/Paused) and bounded step updates at 1 Hz."
29,LED / Lighting / Art Projects,"Build a traffic light sequence for three LEDs: Green 4 s, Yellow 1 s, Red 4 s. A button forces Flashing Yellow mode. Use a state machine with bounded timing loops and a 50 Hz control rate."
30,LED / Lighting / Art Projects,"Capacitive touch cycles among five distinct color patterns. Use a bounded loop to index modes, debounce at 50 Hz, and add a 500 ms lockout to prevent rapid cycling."
31,LED / Lighting / Art Projects,Render Morse code on a single LED with adjustable words per minute from a knob. Use a state machine (Idle/Sending) and a bounded encoding loop for dot/dash durations at 100 Hz.
32,LED / Lighting / Art Projects,"After 30 s of no touch input, dim the LED to 20% using a bounded 20-step fade; wake to previous level on touch. Guarantee WCET per update <= 2 ms."
33,LED / Lighting / Art Projects,"Display a progress bar on a 12-LED strip for a user-set timer. Use buttons to set duration in seconds, a bounded loop to update segments at 50 Hz, and achieve ±1% timing accuracy."
34,LED / Lighting / Art Projects,Create a heartbeat effect: double pulse at 72 BPM with precise inter-beat timing. Use a bounded pulse sequence and a 200 Hz scheduler.
35,LED / Lighting / Art Projects,Twinkle across 12 LEDs where no more than 3 are on at once. Use a bounded selection loop and a state machine (Running/Paused) at 30 Hz.
36,LED / Lighting / Art Projects,"Hold a target brightness measured by a photodiode using PID control on PWM duty. Sample at 200 Hz, bound the integral term, clamp duty to 10–90%, and use a state machine (Startup/Tune/Run) with overshoot < 5%."
37,LED / Lighting / Art Projects,"Fuse ambient light (lux) and motion intensity (0–1) to set both brightness and color temperature. Use bounded-window averaging at 20 Hz, a safety fallback to 30% duty on sensor fault, and no unbounded loops."
38,LED / Lighting / Art Projects,"Stabilize luminance across temperature by fusing a light sensor and a temperature sensor. Apply PID with temperature feed-forward at 100 Hz, enforce WCET <= 1 ms, and cap PWM to protect current."
39,LED / Lighting / Art Projects,"Capture a surface’s dominant hue with a color sensor and reproduce it on RGB LEDs. Smooth with a bounded median filter (window 5), use a state machine (Capture/Display/Error), and fail-safe to off on invalid data. Update at 40 Hz."
40,LED / Lighting / Art Projects,Drive patterns from detected beats on a microphone input. Detect peaks and step through a bounded 16-step sequence with total latency < 30 ms. Run the processing at 500 Hz and cap brightness based on battery voltage.
41,LED / Lighting / Art Projects,Animate a moving gradient across 60 LEDs using fixed-point math and a bounded inner loop per pixel. Maintain 60 Hz frame rate with WCET budget 8 ms; blackout safely if two consecutive deadlines are missed.
42,LED / Lighting / Art Projects,"Use PID to achieve 300 lux at a sensor 0.5 m from the LEDs. Sample at 50 Hz, apply anti-windup and derivative filtering with bounded gains, and fail to safe-off if the sensor saturates."
43,LED / Lighting / Art Projects,"Combine proximity and ambient light sensors to trigger a 5 s sparkle mode followed by a decay. Implement a state machine (Idle/Active/Refractory), enforce at most 20 sparkles via a bounded loop, run at 100 Hz, and cap brightness for eye safety."
44,LED / Lighting / Art Projects,"Control correlated color temperature in Kelvin by blending warm and cool LEDs. Use PID on chromaticity error at 30 Hz, limit slew rate to avoid flicker, and manage modes with a state machine (Warmup/Control/Fault)."
45,LED / Lighting / Art Projects,"Create a safety-supervised strobe at 10 Hz and 80% brightness with a watchdog that forces off on overrun. Keep WCET <= 0.5 ms, use a bounded loop for strobe scheduling, and never allow more than 3 minutes of continuous strobe."
46,LED / Lighting / Art Projects,"Build a stage-light controller with modes Show, Intermission, Blackout, and Evacuation. Each mode runs its own color pattern at defined rates. Implement an explicit state machine with button and timer transitions, bounded loops for pattern frames, WCET per tick <= 2 ms, startup self-test that blinks each channel, and runtime assertions for duty caps and mode invariants."
47,LED / Lighting / Art Projects,"Design a museum installation with Day, Night, and Maintenance modes. Fuse ambient light and visitor count to scale brightness; maintain 200 lux via PID during Day. Safety: max duty 70% and thermal derating above 55 C. Run the loop at 20 Hz and include unit tests for state transitions and saturation handling."
48,LED / Lighting / Art Projects,"Specify a wearable LED art controller with Idle low-glow, Dance reactive, and Emergency locator modes. Use a deterministic 100 Hz scheduler, bounded loops limited to 64 iterations for pattern generation, and a test harness that simulates sensors, checks timing jitter < 1 ms, and enforces battery protection below 3.6 V to reduce duty under 30%."
49,LED / Lighting / Art Projects,"Create a public art wall for 120 LEDs with selectable programs: Solid, Waves, Sparkles, Messages. Enforce 60 Hz frame rate and WCET <= 10 ms, use sensor fusion of crowd proximity and sound level to pick palettes, include a heartbeat indicator, a startup self-test that steps through each pixel via a bounded loop, and a fault mode that reduces brightness and logs error counters."
50,LED / Lighting / Art Projects,"Develop an emergency stairwell lighting system with Normal, Backup, and Test modes. Normal follows a scheduled dimming curve; Backup forces 100% on power-loss input; Test runs a bounded loop to verify each fixture within 30 s. Safety: minimum 50 lux in Backup and thermal protection above 60 C to reduce duty. Provide a formally defined state machine, acceptance criteria, and timing conformance checks at 10 Hz."
51,LED / Lighting / Art Projects,"Make a single LED fade up from 0% to 100% and back down using PWM. Run the updates at a fixed 100 Hz rate and use a bounded loop to perform exactly 5 complete fade cycles, then leave the LED off."
52,LED / Lighting / Art Projects,"When a pushbutton is pressed, set a status LED to 80% brightness with PWM; when released, set it to 10%. Scan input and update output at 50 Hz with simple debouncing (20 ms)."
53,LED / Lighting / Art Projects,Blink a single LED at 1 Hz with a 25% duty cycle using PWM. Use a rate attribute of 100 Hz to schedule the updates so the timing error stays under ±10 ms.
54,LED / Lighting / Art Projects,"Alternate a bi-color LED: red for 500 ms, green for 500 ms, and repeat. Use a bounded loop to run the alternating sequence exactly 20 cycles, then stop with both colors off."
55,LED / Lighting / Art Projects,Create a breathing effect by stepping PWM brightness through a predefined table from 0% to 100% and back in 3 seconds. Repeat the table with a bounded loop for 10 cycles.
56,LED / Lighting / Art Projects,"On power-up, sweep across 4 LEDs: light LED1 at 60% for 100 ms, then LED2, LED3, LED4, and repeat back to LED1. Perform exactly 4 passes using a bounded loop, then turn all LEDs off."
57,LED / Lighting / Art Projects,"Each time a button is tapped, advance a single LED through brightness levels 20%, 60%, 100%, then wrap back to 20%. Debounce for 20 ms and update at 100 Hz."
58,LED / Lighting / Art Projects,"Pulse an LED: on for 200 ms at 70% brightness, off for 800 ms. Keep the period to 1.0 s ± 5 ms using a fixed 100 Hz update rate."
59,LED / Lighting / Art Projects,"Fade a group of 5 LEDs together from 0% to 100% in 10 equal steps with 100 ms dwell per step using a bounded loop. After reaching 100%, hold steady."
60,LED / Lighting / Art Projects,Implement a steady nightlight at 15% brightness using PWM. Ensure the PWM update frequency is at least 500 Hz to avoid visible flicker.
61,LED / Lighting / Art Projects,"Flash an LED three times quickly (100 ms on, 100 ms off), pause for 1 second, then repeat the group. Use bounded loops to manage the triple-flash sequence cleanly."
62,LED / Lighting / Art Projects,Drive a tri-color LED with a steady blue at 30% brightness. Maintain a 200 Hz rate for PWM updates and do not perform any animation.
63,LED / Lighting / Art Projects,"Create a color wipe across 3 RGB LEDs: show all red for 300 ms, then all green, then all blue, looping indefinitely. Keep the update scheduling at 50 Hz."
64,LED / Lighting / Art Projects,"When a digital input is high, turn a white LED to 90% within 50 ms; when low, turn it off. Prioritize responsiveness and update at 200 Hz."
65,LED / Lighting / Art Projects,"Blink an LED with the Morse code for SOS: dot = 200 ms, dash = 600 ms, intra-letter gap = 200 ms, inter-word gap = 600 ms. Use bounded loops to structure the dot/dash sequences and repeat continuously."
66,LED / Lighting / Art Projects,"Design a state machine with states Idle (LEDs off), Demo (rainbow chase), and Hold (solid color). A pushbutton toggles through the states. Run animations at 60 Hz and use bounded loops to define the chase length."
67,LED / Lighting / Art Projects,Use a potentiometer to set the brightness of a white LED from 0% to 100%. A second button triggers a 3-pulse alert flash at 80% brightness. Sample and update at 100 Hz with debounced input.
68,LED / Lighting / Art Projects,"Create a traffic-light sequence with red (3 s), green (3 s), yellow (0.5 s). If a specific input is active, switch to flashing yellow at 2 Hz. Use a rate attribute and bounded loops for the flash count."
69,LED / Lighting / Art Projects,Drive a strip of 8 RGB LEDs with a theater-chase: one lit pixel advances each step. Select color via a 3-position switch. Update at 50 Hz and bound the chase to 100 steps before re-reading the switch.
70,LED / Lighting / Art Projects,Map microphone amplitude to color on an RGB LED from blue (quiet) to red (loud). Refresh at 200 Hz and smooth the signal with a bounded moving average of 8 samples.
71,LED / Lighting / Art Projects,"Build a sunrise sequence for 6 LEDs: over 15 minutes ramp from 0% to 100% with a warm color bias. If a cancel button is pressed, fade to 0% over 5 seconds. Implement as a state machine with bounded ramp steps."
72,LED / Lighting / Art Projects,"Create a dual-channel dimmer with two sliders controlling two LED channels. If total brightness exceeds a set limit, proportionally scale both so the sum stays ≤ 150%. Update at 100 Hz."
73,LED / Lighting / Art Projects,"Implement a color-cycling mood light that steps hue every 50 ms. Use a bounded loop to make exactly 360 hue steps per full rotation, then continue cycling."
74,LED / Lighting / Art Projects,"Provide a strobe mode with adjustable frequency from 1 to 20 Hz via a knob, and a constant-on mode. Use a state machine to switch modes and keep strobe duty fixed at 10%."
75,LED / Lighting / Art Projects,Create a Larson scanner across 10 LEDs with adjustable speed. Use bounded loops to move the bright 'eye' forward and back at 60 Hz. Add tails at 50% and 25% brightness on adjacent LEDs.
76,LED / Lighting / Art Projects,"Show temperature on a tri-color LED: below 10 C display blue, between 10 C and 25 C display green, above 25 C display red. Update at 2 Hz and smooth readings with a bounded 5-sample average."
77,LED / Lighting / Art Projects,Two buttons select between 'calm' breathing (8 s period) and 'alert' pulsing (0.5 s period) on an RGB LED. Implement explicit states and use bounded loops to count the number of breaths per mode.
78,LED / Lighting / Art Projects,Read ambient light in lux and auto-dim a backlight between 10% and 80% brightness. Limit changes to 10% per second using a bounded stepper. Update control at 50 Hz.
79,LED / Lighting / Art Projects,"Implement left and right turn signal patterns on two 5-LED arrows. When L input is active, sweep left at 2 Hz; when R is active, sweep right. If both active, alternate sides each cycle. Use bounded loops for the sweep length."
80,LED / Lighting / Art Projects,"Create a holiday playlist that runs pattern A for 20 s, pattern B for 15 s, and pattern C for 30 s, then loops. Include a button to skip to the next pattern immediately. Use a state machine with timed substates."
81,LED / Lighting / Art Projects,"Use a capacitive touch input to toggle an RGB LED on and off. When on, rotate hue slowly at 0.1 Hz. Debounce touch at 50 ms and update at 100 Hz."
82,LED / Lighting / Art Projects,"Create a battery indicator with 4 LEDs representing 0–100% in 25% increments. When below 15%, flash the lowest LED at 1 Hz. Update at 10 Hz using bounded loops for the flash."
83,LED / Lighting / Art Projects,"Drive a 12-LED ring as a clock: seconds as a moving dot, hours as a static dot. Update once per second and ensure each update's WCET is ≤ 5 ms."
84,LED / Lighting / Art Projects,Blend warm and cool white LEDs based on a knob to adjust color temperature. Limit total current by scaling PWM so the combined duty stays ≤ 100%. Run the control loop at 200 Hz.
85,LED / Lighting / Art Projects,Create a chase across 12 LEDs that reverses direction when an obstacle sensor is triggered. Update at 50 Hz and reverse within one frame. Use bounded loops for step progression.
86,LED / Lighting / Art Projects,Regulate perceived luminance to a target lux using a photodiode. Apply a PID controller at 200 Hz to adjust the PWM of a white LED. Constrain output to 0–100% and include anti-windup.
87,LED / Lighting / Art Projects,Maintain a 4000 K color temperature using two LED channels (warm and cool) with a PID that tracks a color sensor measurement. Control at 100 Hz and achieve steady-state error under 2%.
88,LED / Lighting / Art Projects,"Fuse two ambient light sensors (front and side) to set brightness on a 6-LED strip. Weight the higher reading more, use a bounded median filter, and limit slew to 20% per second. Update at 50 Hz."
89,LED / Lighting / Art Projects,Implement flicker cancellation: measure a flicker component on a light sensor and drive an LED with PWM to counter it. Close the loop at 500 Hz and cap duty changes per step to ensure stability.
90,LED / Lighting / Art Projects,Thermal-safe brightness control: monitor heatsink temperature in Celsius and use a PI controller to keep a 60 C setpoint. Enforce a hard limit at 70 C that overrides control and logs a fault state. Update at 50 Hz.
91,LED / Lighting / Art Projects,Drive 3 RGB fixtures with phase-shifted sine wave patterns for each channel. Guarantee deterministic timing at 100 Hz with WCET ≤ 4 ms. Use bounded loops to iterate lookup tables for each phase step.
92,LED / Lighting / Art Projects,"Auto-expose a wall wash to 300 lux measured at a sensor 2 m away using PID on two zones. Respect a total current budget of 500 mA; if both zones demand more, scale them proportionally with priority rules."
93,LED / Lighting / Art Projects,Perform adaptive hue stabilization: use a color sensor to measure HSV of emitted light and correct the PWM of an RGB LED via a MIMO PID at 200 Hz to track a commanded hue and brightness.
94,LED / Lighting / Art Projects,"Combine a motion sensor with an ambient light sensor: if motion occurs under low lux, ramp a path light to 60% over 1 s using a bounded fade; otherwise keep it off. Add a 30 s hold timer before dimming back to 0%."
95,LED / Lighting / Art Projects,Safety-critical emergency beacon: flash a white LED at 2 Hz with a defined pattern. Monitor supply voltage and temperature; enter reduced-power mode if voltage < 3.2 V or temperature > 65 C. Guarantee WCET ≤ 2 ms.
96,LED / Lighting / Art Projects,"Create a multi-mode light installation with modes Idle, Ambient, Interactive, and Safe. Each mode runs different patterns at specific rates (Ambient 60 Hz, Interactive 100 Hz). Use a hierarchical state machine, bounded loops for every pattern, transitions to Safe on overtemperature > 65 C or overcurrent > 400 mA, and ensure WCET per cycle ≤ 5 ms."
97,LED / Lighting / Art Projects,"Develop a show controller for 24 LEDs with a playlist of scenes and precise durations. Include pause, skip, and resume controls. Run a diagnostic self-test on startup that blinks each LED once using a bounded loop. Require determinism at 50 Hz, WCET ≤ 3 ms, and a watchdog-safe fallback that sets all LEDs to 10% if timing is exceeded."
98,LED / Lighting / Art Projects,"Specify a dual-mode art lamp: Mode A runs a bounded 5-minute sunrise; Mode B responds to touch and ambient light fusion with smooth color shifts. Enforce safety constraints: junction temperature ≤ 70 C, total PWM sum ≤ 90%. Provide test hooks to simulate sensor inputs and verify behavior at 20, 60, and 100 Hz rates."
99,LED / Lighting / Art Projects,"Design a stage cue light system with three layers: base wash, accent chasers, and alert beacons. Schedule layer-specific rates (wash 30 Hz, chasers 60 Hz, beacons 10 Hz). Include an acceptance test suite that verifies pattern lengths, rate adherence, and bounded loop counts. Provide a fault state that forces low steady brightness if any sensor input is out of range."
100,LED / Lighting / Art Projects,"Engineer a festival installation controller for four zones with independent patterns and a global quiet-hours dimming schedule. Implement a comprehensive state machine with day, night, maintenance, and emergency modes; enforce WCET ≤ 4 ms at 100 Hz. Require scripted test cases for mode transitions, timing sequences, and safety responses to overvoltage and overheating."
101,LED / Lighting / Art Projects,"When a pushbutton is held, drive a single LED at a steady 80% brightness using PWM; when released, set brightness to 0%. Sample the button at 50 Hz with simple debounce and ensure the duty cycle never exceeds 80%."
102,LED / Lighting / Art Projects,"Blink one LED at exactly 1 Hz: 500 ms on, 500 ms off, for exactly 10 cycles using a bounded loop, then leave it off."
103,LED / Lighting / Art Projects,"Create a smooth fade: ramp a single LED from 0% to 100% over 2 s, then back down to 0% over 2 s, repeating for 5 cycles using a bounded loop. Update brightness at 100 Hz."
104,LED / Lighting / Art Projects,Alternate an LED’s color between pure red and pure blue every 500 ms for 20 changes. Keep each color at 60% intensity using PWM and stop after the bounded sequence.
105,LED / Lighting / Art Projects,"On power-up, show warm white at 30% brightness for 3 s, then turn off and stay off."
106,LED / Lighting / Art Projects,Implement a gentle breath effect that oscillates between 5% and 70% brightness with a 3 s period. Use a bounded step ramp and maintain a control rate of 50 Hz.
107,LED / Lighting / Art Projects,"Make two LEDs blink in opposition: when LED A is 100% for 250 ms, LED B is 0%, then swap, repeating 40 times via a bounded loop."
108,LED / Lighting / Art Projects,"When a momentary switch is pressed, ramp an LED to 100% over 1.0 s; when released, ramp down to 0% over 1.0 s. Update at 100 Hz and clamp the PWM to [0%, 100%]."
109,LED / Lighting / Art Projects,"Flash SOS once using one LED: three 100 ms flashes, three 300 ms flashes, three 100 ms flashes, with 100 ms gaps. Implement as a bounded pattern."
110,LED / Lighting / Art Projects,"Cycle through seven hues of the rainbow, holding each for 300 ms at 70% brightness, for one pass only using a bounded loop."
111,LED / Lighting / Art Projects,Each press of a button toggles a single LED between 20% and 80% brightness. Sample at 40 Hz and ignore bounce shorter than 20 ms.
112,LED / Lighting / Art Projects,Keep an LED at a constant 50% brightness with PWM. Guarantee the update task runs at 100 Hz and ensure flicker-free operation by not dropping samples.
113,LED / Lighting / Art Projects,"On startup, blink an LED three times: 100 ms on, 100 ms off, then leave it off. Use a bounded loop and no more than 10% overall duty during this sequence."
114,LED / Lighting / Art Projects,"Perform a soft turn-on by ramping from 0% to 70% brightness over 200 ms using small PWM steps, then hold at 70%."
115,LED / Lighting / Art Projects,"Maintain a night-light at 10% brightness continuously. If a reset occurs, resume at 10% without any transient above 20%."
116,LED / Lighting / Art Projects,"For an RGB LED, implement a color cycle pattern that loops through a palette of 12 colors with 250 ms per color using a bounded loop. A long press increases overall brightness by 10% steps up to 100%. Run control at 60 Hz."
117,LED / Lighting / Art Projects,"Create a state machine with states OFF, IDLE_GLOW, and ALERT_FLASH driven by a digital alert input. IDLE_GLOW breathes between 10% and 40% over 4 s; ALERT_FLASH blinks at 4 Hz at 100% brightness. Ensure transitions are deterministic and the control task runs at 100 Hz."
118,LED / Lighting / Art Projects,"Use two buttons to adjust brightness: one raises by 10% per press, the other lowers by 10% per press, clamped to 0–100%. Debounce at 30 Hz and immediately update PWM."
119,LED / Lighting / Art Projects,Implement a running light across 8 LEDs. Advance the bright position every step with a trailing fade. The step period comes from an analog knob mapped to 100–500 ms. Use a bounded loop to run exactly 16 steps per lap and update at 100 Hz.
120,LED / Lighting / Art Projects,"When ambient light drops below a threshold, smoothly crossfade color temperature from 6500 K to 2700 K over 10 s; when it rises above, crossfade back. Use a two-state machine (DAY, NIGHT) and a 20 Hz update rate."
121,LED / Lighting / Art Projects,Create a chaser across 12 LEDs with a 3-LED tail at 60 updates per second. Ensure no more than 4 LEDs are above 80% at any moment to limit current.
122,LED / Lighting / Art Projects,Map sound level to LED brightness: compute a simple moving average of microphone amplitude and drive an LED from 10% to 100% proportionally. Update at 200 Hz and clamp sudden changes to 20% per update.
123,LED / Lighting / Art Projects,"Play a holiday sequence of colors red, green, blue, and white, each held for 250 ms, repeating continuously for 5 minutes. Use bounded loops to count down time and then turn off."
124,LED / Lighting / Art Projects,"Implement three modes selected by a button: STEADY (set brightness), BREATHE (slow fade), and STROBE (10 Hz at 50% duty). Use a mode state machine; short press cycles modes, long press (>2 s) turns the LED off. Run at 100 Hz."
125,LED / Lighting / Art Projects,Fade smoothly between two colors. A knob controls the fade duration from 0.5 s to 5 s; another knob controls saturation. Use a bounded step count of 100 steps per fade and a 120 Hz update rate.
126,LED / Lighting / Art Projects,"Simulate lightning: generate 1 to 3 bright flashes in a burst, then idle at low glow for at least 10 s before the next burst. Use bounded loops to limit flashes per burst and randomness seeded at startup."
127,LED / Lighting / Art Projects,"Control two independent LED zones with a single on/off button. When on, Zone 1 holds 60% and Zone 2 holds 30%; when off, both ramp down over 0.5 s. Update at 50 Hz."
128,LED / Lighting / Art Projects,"Monitor battery voltage and dim the LED strip from 100% down to 40% as voltage falls below 3.6 V, with 0.1 V hysteresis to avoid chatter. Sample at 10 Hz."
129,LED / Lighting / Art Projects,"On motion detection, ramp lights to 60% in 0.5 s, keep on for 20 s, then ramp down to 0% in 1 s. Retriggering while on extends the hold time. Implement as a clear state machine at 50 Hz."
130,LED / Lighting / Art Projects,"Drive a tempo indicator: given a BPM value (30–240), flash an LED on each beat with a 50 ms pulse. Keep timing error under ±5 ms and ensure WCET ≤ 1 ms at a 100 Hz control rate."
131,LED / Lighting / Art Projects,Rotate through a full 360° hue wheel with 360 discrete steps per revolution. A knob sets speed from 0.2 to 2.0 revolutions per second. Wrap around cleanly and run at 120 Hz.
132,LED / Lighting / Art Projects,Implement a sunrise effect: ramp brightness from 0% to 100% evenly over 20 minutes. Provide a cancel input that stops the sequence immediately and sets brightness to 0%. Update at 1 Hz.
133,LED / Lighting / Art Projects,Use a proximity sensor to control brightness from 10% (far) to 90% (near) with a linear mapping. Apply 100 ms hysteresis to reduce flicker and update at 50 Hz.
134,LED / Lighting / Art Projects,"Create a pattern player that reads up to 16 steps (color, duration in ms, brightness) and plays them exactly once using a bounded loop. Enforce a max brightness of 80% per step."
135,LED / Lighting / Art Projects,Synchronize a breathing effect across 4 LEDs with 90° phase offsets. Ensure average current across all channels stays under 150 mA by scaling down proportionally if needed.
136,LED / Lighting / Art Projects,"Regulate illuminance to 300 lux measured by a light sensor using a PID loop that drives LED PWM. Run the control at 100 Hz, clamp PWM to 5–95%, and implement anti-windup. Guarantee WCET ≤ 2 ms."
137,LED / Lighting / Art Projects,"Fuse ambient light readings and a motion activity score to decide brightness: higher activity raises brightness even in dim light. Implement a two-mode state machine (IDLE, ACTIVE) and update at 50 Hz. If temperature exceeds 60 °C, reduce to 20% until cooled."
138,LED / Lighting / Art Projects,"Maintain a target correlated color temperature of 5000 K using RGB feedback. Use a PID to adjust the R, G, and B PWM mix. Update at 200 Hz, limit per-channel slew rate, and bound WCET to 1 ms."
139,LED / Lighting / Art Projects,Create a sparkle field on 100 LEDs where at most 8 sparkles can be active simultaneously. Each sparkle rises to 100% then decays over 300 ms. Enforce a 500 mA total current cap by scaling intensities. Update at 120 Hz.
140,LED / Lighting / Art Projects,"Blend accelerometer tilt and ambient light level to set hue and brightness using a complementary filter. Run at 100 Hz, saturate outputs to safe ranges, and keep WCET ≤ 1.5 ms."
141,LED / Lighting / Art Projects,Implement multi-zone dimming across 8 channels: a master PID regulates total luminous flux to a setpoint while per-zone P controllers equalize perceived brightness. Enforce 100 mA per channel limit and update at 200 Hz.
142,LED / Lighting / Art Projects,"Thermal management for LEDs: monitor temperature and use a PID to maintain 55 °C by adjusting brightness. If temperature exceeds 65 °C, enter a protective dim state. Control loop at 20 Hz with anti-windup."
143,LED / Lighting / Art Projects,"Build a theme engine with three themes (Calm, Pulse, Vibrant). Each theme uses bounded-loop patterns and limits brightness changes to 10% per update. Switch themes via a state machine triggered by a selector input. Run at 120 Hz."
144,LED / Lighting / Art Projects,"Design a strobe that locks to an external tick with <2 ms jitter. Use a PI controller to correct phase drift, limit duty to 10%, and automatically disable after 10 minutes of continuous operation."
145,LED / Lighting / Art Projects,Combine microphone RMS level and proximity distance to control color saturation and brightness. Smooth with an exponential moving average. Cap transient spikes and run at 250 Hz with WCET ≤ 2 ms.
146,LED / Lighting / Art Projects,"Create a multi-mode lighting controller with modes Performance, Gallery, Night, and Safe. Each mode defines distinct PWM patterns and rates. Implement a top-level state machine with prioritized fault handling for overtemperature (>60 °C) and undervoltage (<3.3 V). Specify a 100 Hz control rate and WCET ≤ 1 ms. Include a concise test plan for mode transitions, fault injection, and bounded-loop completion."
147,LED / Lighting / Art Projects,"Implement a configurable show runner that loads up to 5 user-defined patterns, each a bounded sequence of color, brightness, and duration. Schedule them without overlap, provide a watchdog that forces a 10% safe dim if updates stall >200 ms, and expose a diagnostic counter for the current step. Require timing accuracy within ±5 ms and include longevity tests for a 1-hour run without drift."
148,LED / Lighting / Art Projects,"Build a lighting system supporting automatic day/night sensing, manual override, and emergency flash. Use hierarchical state machines and rate attributes for parallel tasks: sensing at 20 Hz, control at 100 Hz, effects at 120 Hz. Guarantee WCET budgets of 0.5 ms, 0.8 ms, and 1.0 ms respectively, and cap total current at 1 A."
